MAIN_ID,SP_TYPE,DIST(pc),Mdot,Ref,Inclination,Ref,U,A_U,B,A_B,V,A_V,R,A_R,I,A_I,J,A_J,H,A_H,K,A_K,2MASS_FLAG,W1,A_W1,W2,A_W2,IRAC_8,F9,F9_FLAG,IRAS_12,W3,A_W3,IRS_16,F18,F18_FLAG,IRS_22,W4,A_W4,WISE_FLAG,MIPS_24,IRAS_25,F25_FLAG,REF,IRAS_60,F60_FLAG,REF,F65,F65_FLAG,REF,70,REF,F90,F90_FLAG,REF,IRAS_100,F100_FLAG,Ref,F140,F140_FLAG,REF,F160,F160_FLAG,REF,350,REF,450,REF,600,REF,750,REF,800,REF,850,REF,870,REF,890,REF,1100,REF,1200,REF,1300,REF,1400,REF,2000,REF,2600,REF,2700,REF,3000,REF,3100,REF,3200,REF,3300,REF,3400,REF,3500,REF,6800,REF,7000,REF,13000,REF,36000,REF,60000,REF,MAIN_ID,MEEUS_GRP,Ref,Refs for Why Stars are Added,RA,DEC,Teff,V_correc,V_abs,BC_V,M_Bol,L(L_SUN)
HD 278937,A3,350,0.00000022,Donehew & Brittain 2011,,,10.95,1.15896338,10.8,0.985014085,10.47,0.744,10.13,0.557476056,9.87,0.35628169,9.139,0.209577465,8.409,0.130776338,7.589,0.080058592,000,6.591,0.039260845,5.963,0.024263045,null|,0.3827,3,null|,5.194,0.020280811,null|,0.6413,3,null|,2.244,0.01323532,0000,null|,1.60E+00,3,,6.62E+00,3,,5.93,3,,,,6.388,3,,1.35E+01,1,,4.551,3,,2.104,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,HD 278937,,,,03 40 46,+32 31 53,8550,9.726,2.005659778,-0.06,1.945659778,13.11402746
HD 275877,A2,160,1.38038E-06,"Mendigutia, Calvet, et al. 2011",,,10.17,2.076476056,9.7,1.764816901,9.21,1.333,8.72,0.998811268,8.39,0.638338028,7.654,0.375492958,6.917,0.234307606,6.092,0.14343831,000,4.971,0.070342347,4.122,0.043471289,null|,4.302,3,null|,2.574,0.036336454,null|,3.404,3,null|,0.969,0.023713281,0000,null|,4.06E+00,3,,4.91E+00,3,,3.958,3,,,,4.367,3,,1.03E+01,1,,5.323,3,,1.471,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,HD 275877,,,,03 49 36,+38 58 55,8840,7.877,1.856400087,-0.1,1.756400087,15.6113322
V892 Tau,B8,160,,,,,,7.195230986,16.65,6.115295775,15.25,4.619,13.12,3.460997183,,2.211915493,8.55,1.301126761,6.91,0.811903099,5.94,0.497030423,000,5.144,0.243744413,4.104,0.150633071,null|,17.35,3,null|,-0.21,0.125910037,null|,61.650002,3,null|,-2.51,0.082169278,HHHH ,null|,9.99E+01,3,,7.27E+01,3,,57.200001,3,,25.41,,39.040001,3,,1.68E+02,2,,null,1,,null,1,,4.1,,2.57,,,,,,,,0.638,,,,,,,,,,0.234,,,,,,,,0.042,,,,,,,,,,,,,,,,0.0058,,0.0011,,0.00048,,,,V892 Tau,I,Honda et al. 2015,,04 18 40,+28 19 15,12500,10.631,4.610400087,-0.81,3.800400087,2.375964598
ab aur,A0Ve,144,0.000000018,Donehew & Brittain 2011,40,Cauley 2014,7.1999998,0.531189891,7.1599998,0.45146338,7.0500002,0.340998936,6.96,0.255509062,6.6999998,0.163295265,5.936,0.096056038,5.062,0.059938968,4.23,0.036693407,000,3.289,0.017994498,1.669,0.011120528,null|,18.879999,3,null|,0.542,0.009295343,null|,26.030001,3,null|,-1.723,0.006066169,0h0h ,null|,52.7,3,,1.06E+02,3,,null|,null|,,137.74,,null|,null|,,138,3,,null|,null|,,65.55,3,,,,2.2,,,,,,0.475,,0.35,,,,0.309,,0.192,,,,0.103,,0.085,,,,,,0.01,,,,,,,,,,,,,,,,,,,,,,,,ab aur,I,Acke et al. 2008,,04 55 45,+30 33 04,9700,6.709001264,0.917188804,-0.24,0.677188804,42.18173885
HD 31648,A5Vep,131,5.89E-08,"Mendigutia, Calvet, et al. 2011",35,Pietu 2007,7.8400002,0.096581847,7.7800002,0.082085838,7.6199999,0.062001005,7.7600002,0.046457091,7.4299998,0.029690622,6.865,0.017465072,6.262,0.010898205,5.527,0.006671657,000,4.868,0.00327179,3.926,0.002021953,null|,9.118,3,null|,1.665,0.001690095,null|,8.07,3,null|,0.056,0.001102961,0000,null|,null|,null|,,null|,null|,,10.17,3,,12.3,,11.729999,3,,14.3,3,,11.85,3,,13.18,3,,,,3.3,,,,,,,,0.78,,,,,,,,,,0.2893,,,,,,,,0.0358,,,,,,,,,,,,,,,,,,,,,,,,HD 31648,II,Acke et al. 2008,,04 58 46,+29 50 36,8080,7.557998895,1.971642417,-0.03,1.941642417,13.16264091
ux ori,A3,340,1.70E-07,"Mendigutia, Calvet, et al. 2011",72,Natta et al. 1999,11.01,1.303833803,10.76,1.108140845,10.4,0.837,10.17,0.627160563,9.9,0.400816901,9.06,0.235774648,8.044,0.14712338,7.214,0.090065915,000,6.25,0.044168451,5.513,0.027295926,null|, ,0,null|,2.921,0.022815913,null|,3.112,3,null|,0.92,0.014889735,0000,null|,3.7,3,,null|,null|,,2.736,3,,,,2.129,3,,3.8,3,,4.282,3,,2.231,1,,,,,,,,,,,,,,,,,,,,,,0.0164,,,,,,,,,,,,,,,,,,,,,,,,0.00084,,,,0.00009,,0.00002,,ux ori,II,Acke et al. 2008,,05 04 29,-03 47 14,8550,9.563,1.905605415,-0.06,1.845605415,14.37996517
IRAS 05044-0325,B3,670,,,,,13.54,4.829014085,13.65,4.104225352,12.84,3.1,12.18,2.322816901,11.42,1.484507042,null|,0.873239437,null|,0.544901408,null|,0.333577465,null|,null|,0.163586854,null|,0.101096021,null|,null|,null|,null|,null|,0.08450338,null|,null|,null|,null|,null|,0.055147166,null|,null|,null|,null|,,null|,null|,,null|,null|,,,,null|,null|,,null|,null|,,null|,null|,,null|,null|,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,IRAS 05044-0325,,,Cauley,05 06 55.515,-03 21 13.23,17000,9.74,0.609625986,-1.58,-0.970374014,192.3754308
V1012 Ori,A3e,1201,6.30957E-08,Fairlamb et al. 2015,,,,1.859170423,12.698,1.580126761,12.223,1.1935,,0.894284507,,0.571535211,10.558,0.336197183,9.676,0.209787042,8.833,0.128427324,000,7.936,0.062980939,7.277,0.038921968,2.56E-01,0.2944,3,2.33E-01,5.152,0.032533801,4.58E-01,0.8722,3,1.07E+00,2.087,0.021231659,0000,1.13E+00,1.12E+00,3,,null|,null|,,2.141,1,,,,1.317,3,,null|,null|,,2.175,1,,null,1,,,,,,,,,,,,,,,,,,,,,,0.052,"Th. Henning et al. 1994, cold dust",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,V1012 Ori,,,,05 11 36,-02 22 48,8550,11.0295,0.631784963,-0.06,0.571784963,46.48212934
HD 34282,A3,164,5.01187E-09,"Mendigutia, Calvet, et al. 2011",,,10.19,1.110672274,10.16,0.94397101,9.8400002,0.71299938,9.7700005,0.534247423,9.6300001,0.341436323,9.256,0.200844896,8.475,0.125327215,7.678,0.07672275,000,6.79,0.037624944,6.271,0.023252065,null|,0.7356,3,null|,4.428,0.019435761,null|,      null|,0,null|,0.012683837,0.017647076,0000,null|,1.63E+00,3,,1.04E+01,3,,10.04,3,,,,11.17,1,,1.07E+01,3,,9.745,3,,9.353,3,,,,2.7,,,,,,0.409,,0.36,,,,,,0.183,,,,0.11,,,,,,0.0238,,,,,,,,0.0055,,,,0.005,,,,,,0.001,,,,0.0002,,,,HD 34282,I,Acke et al. 2008,,05 16 00,-09 48 35,8550,9.12700082,3.05278158,-0.06,2.99278158,4.999048706
HD 35187,A2e+A7,150,0.000000025,Donehew & Brittain 2011,,,,0.806445352,8.742,0.685405634,8.515,0.5177,8.39,0.387910423,,0.247912676,6.953,0.145830986,6.48,0.090998535,5.911,0.055707437,000,5.222,0.027319005,4.623,0.016883036,null|,      null|, null,null|,2.56,0.014112065,null|,      null|,null,null|,0.274,0.009209577,0000,null|,1.15E+01,3,,7.95E+00,3,,4.402,3,,5.17,,4.596,3,,4.07E+00,3,,3.469,1,,2.38,3,,,,0.076,,,,,,0.115,,0.34,,,,,,0.08,,,,0.02,,,,,,,,,,,,,,,,,,,,,,,,0.001,,,,0.001,,,,HD 35187,II,Acke et al. 2008,,05 24 01,+24 57 37,8840,7.9973,2.116843705,-0.1,2.016843705,12.28181406
HD 287823,A2,375,7.4131E-08,Fairlamb et al. 2015,,,,0.531191549,9.91,0.451464789,9.74,0.341,,0.255509859,,0.163295775,9.238,0.096056338,8.735,0.059939155,7.901,0.036693521,000,6.725,0.017994554,6.01,0.011120562,null|,0.69,3,null|,4.315,0.009295372,null|,1.331,3,null|,1.538,0.006066188,0000,null|,2.74E+00,3,,2.90E+00,3,,2.29,1,,,,1.734,3,,1.34E+00,2,,1.727,1,,0.02363,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,HD 287823,,,Cauley,05 24 08.04869,+02 27 46.8871,8840,9.399,1.528843661,-0.1,1.428843661,21.10875093
HD 287841,A8,375,1.02329E-06,"Mendigutia, Calvet, et al. 2011",,,10.55,0.241450704,10.45,0.205211268,10.17,0.155,9.9899998,0.116140845,9.8000002,0.074225352,9.699,0.043661972,9.188,0.02724507,8.561,0.016678873,000,7.31,0.008179343,6.754,0.005054801,3.87E-01, ,0,2.51E-01,5.175,0.004225169,2.77E-01,0.5896,3,1.00E+00,2.233,0.002757358,0000,1.14E+00,1.16E+00,3,,5.63E+00,3,,4.054,3,,,,3.793,3,,3.48E+00,3,,3.917,3,,null,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,HD 287841,,,,05 24 42,+01 43 48,7580,10.015,2.144843661,0,2.144843661,10.91597508
HD 290409,B9,375,4.89779E-08,Fairlamb et al. 2015,,,,0.820932394,10.07,0.69771831,9.96,0.527,,0.394878873,,0.252366197,9.523,0.148450704,9.132,0.092633239,8.63,0.056708169,000,8.461,0.027809765,8.065,0.017186324,null|,0.7687,3,null|,3.81,0.014365575,null|,2.182,3,null|,1.109,0.009375018,hh00,null|,3.28E+00,3,,2.48E+00,3,,null|,null|,,,,null|,null|,,1.62E+00,3,,null|,null|,,null|,null|,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,HD 290409,,,Cauley,05 27 05.4747,+00 25 07.605,10700,9.433,1.562843661,-0.42,1.142843661,27.47024517
HD 35929,F2III,345,4.2658E-07,Fairlamb et al. 2015,,,,0.434613847,8.5500002,0.369382474,8.1099997,0.279001656,8.1000004,0.209054762,,0.133606427,7.211,0.078592016,6.974,0.049041418,6.673,0.03002215,000,6.15,0.014722904,5.467,0.009098696,7.34E-01, ,0,null,4.213,0.007605349,null,0.4686,3,null,3.391,0.004963274,0000,null,5.43E-01,3,,4.00E-01,1,,null|,null|,,,,null|,null|,,1.86E+00,1,,null|,null|,,null|,null|,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,HD 35929,II,Acke et al. 2010,,05 27 42,-08 19 38,6810,7.830998044,0.141902569,-0.02,0.121902569,70.34592951
Par 22,-,,,,,,,99.99,13.5,99.99,13.3,99.99,,99.99,,99.99,11.712,99.99,11.385,99.99,11.338,99.99,000,11.256,99.99,11.325,99.99,null|,      null|, null,null|,11.398,99.99,null|,      null|,null,null|,8.912,99.99,0000,null|,null|,null|,,null|,null|,,null|,null|,,,,null|,null|,,null|,null|,,null|,null|,,null|,null|,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Par 22,,,,05 28 56, -06 31 36 ,99.99,-86.69,#NUM!,99.99,#NUM!,#NUM!
HD 290500,A2,375,7.76247E-07,Fairlamb et al. 2015,,,,1.207253521,11.35,1.026056338,11.04,0.775,,0.580704225,,0.371126761,10.266,0.218309859,9.951,0.136225352,9.587,0.083394366,000,8.315,0.040896714,7.825,0.025274005,null|,0.2165,3,null|,5.633,0.021125845,null|,0.5128,3,null|,2.474,0.013786792,0000,null|,1.18E+00,3,,3.66E+00,3,,3.121,1,,,,2.664,3,,1.52E+01,1,,3.96,3,,1.713,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,HD 290500,,,Cauley,05 29 48.034,-00 23 43.16,8840,10.265,2.394843661,-0.1,2.294843661,9.507416841
HD 244314,A2,375,0.000000126,Donehew & Brittain 2011,,,,0.434611268,10.33,0.369380282,10.18,0.279,,0.209053521,,0.133605634,9.316,0.078591549,8.733,0.049041127,8.053,0.030021972,000,6.978,0.014722817,6.456,0.009098642,null|,0.924,3,null|,3.99,0.007605304,null|,0.8813,3,null|,2.314,0.004963245,0000,null|,1.17E+00,3,,7.82E-01,3,,null|,null|,,,,null|,null|,,2.29E+00,1,,null|,null|,,null|,null|,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,HD 244314,,,Cauley,05 30 19.025,+11 20 20.00,8840,9.901,2.030843661,-0.1,1.930843661,13.29421002
HD 36112,A5,205,0.00000089,Donehew & Brittain 2011,21,Cauley 2014,,0.77263839,8.5699997,0.656672773,8.2700005,0.49599752,8.3000002,0.371648846,,0.237519939,7.221,0.139717611,6.56,0.087183789,5.804,0.053372128,000,4.684,0.026173766,3.865,0.016175283,3.18E+00,4.686,3,null,2.163,0.013520473,null,6.302,3,null,-0.181,0.008823502,0000,null,1.26E+01,3,,2.80E+01,3,,20.799999,3,,20.84,,18.25,3,,1.81E+01,3,,8.713,3,,12.4,3,,,,1.54,,,,,,,,0.197,,0.217,,,,,,,,0.0548,,0.235,,,,,,0.0073,,,,,,,,0.0049,,,,,,,,,,,,,,,,HD 36112,II,Acke et al. 2010,,05 30 27,+25 19 57,8080,7.77400298,1.215233675,-0.03,1.185233675,26.41840113
v451 ori,B9e,361,,,,,,1.014095721,9.6300001,0.861889672,9.4799995,0.651001774,,0.487792878,,0.311747328,9.181,0.183380781,9.162,0.114429608,9.111,0.070051458,000,9.051,0.034353333,9.013,0.021230222,null|,      null|, null,null|,8.567,0.017745758,null|,      null|,null,null|,7.329,0.011580936,0000,null|,null|,null|,,null|,null|,,null|,null|,,,,null|,null|,,null|,null|null|,,null|,null|,,null|,null|,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,v451 ori,,,,05 31 26,+11 01 22,10700,8.828997726,1.041461716,-0.42,0.621461716,44.40330673
hk ori,A2?e+G0?e,460,5.7544E-06,"Mendigutia, Calvet, et al. 2011",,,12.27,2.221346479,12.23,1.887943662,11.71,1.426,11.01,1.068495775,10.72,0.682873239,9.408,0.401690141,8.311,0.250654648,7.341,0.153445634,000,6.163,0.075249953,5.033,0.04650417,null|,2.708,3,null|,2.529,0.038871555,null|,2.882,3,null|,0.897,0.025367696,HHHH ,null|,4.7,3,,1.64E+00,1,,null|,null|,,,,null|,null|,,7.04E+01,1,,null|,null|,,null|,null|,,,,,,,,,,,,,,,,,,,,,,0.1,"Hillenbrand 1992, upper limit",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,hk ori,,,,05 31 28,+12 09 10,8840,10.284,1.970210842,-0.1,1.870210842,14.05774507
HD 244604,A4,336,0.000000063,Donehew & Brittain 2011,,,,0.289737948,9.6099997,0.246251059,9.4300003,0.18599814,9.3999996,0.13936762,,0.089069532,8.613,0.052393842,7.956,0.032693758,7.123,0.020014448,000,6.54,0.009815113,5.773,0.006065701,1.11E+00, ,0,null,3.405,0.005070152,null,1.448,3,null,1.598,0.003308797,0000,null,2.31E+00,3,,1.08E+00,3,,0.1249,1,,,,0.6385,3,,2.67E+00,1,,0.4181,1,,1.138,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,HD 244604,II,Acke et al. 2010,,05 31 57,+11 17 41,8270,9.24400216,1.612305773,-0.04,1.572305773,18.49599464
UY Ori,B9,,,,,,,4.442692958,13.16,3.775887324,12.3,2.852,,2.136991549,,1.365746479,11.479,0.803380282,10.511,0.501309296,9.327,0.306891268,000,7.861,0.150499906,6.937,0.093008339,null|,1.621,3,null|,3.105,0.07774311,null|,2.502,3,null|,1.236,0.050735393,0000,null|,null|,null|,,null|,null|,,null|,null|,,,,null|,null|,,null|,null|,,null|,null|,,null|,null|,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,UY Ori,,,Cauley,05 32 00.30,-04 55 53.9,10700,9.448,#NUM!,-0.42,#NUM!,#NUM!
RY Ori,F7,460,2.23872E-07,"Mendigutia, Calvet, et al. 2011",,,12.62,7.050360563,12.76,5.992169014,10.8,4.526,10.82,3.391312676,10.34,2.167380282,9.444,1.274929577,8.885,0.795556056,8.277,0.487023099,000,7.578,0.238836808,7.071,0.147600191,4.20E-01,0.6647,3,7.26E-01,4.332,0.123374935,7.21E-01,0.7875,3,8.83E-01,2.518,0.080514863,0000,8.23E-01,8.46E-01,3,,2.28E+00,1,,null|,null|,,,,null|,null|,,1.91E+01,1,,null|,null|,,null|,null|,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,RY Ori,II,Acke & van den Ancker; A Survey for nanodiamond features,Manoj,05 32 09.936,-02 49 46.79,6240,6.274,-2.039789158,-0.06,-2.099789158,544.3969249
HD 36408,B7,128,0.00000001,Donehew & Brittain 2011,,,5.823,0.738839155,6.103,0.627946479,6.06,0.4743,6.037,0.355390986,6.05,0.227129577,5.964,0.133605634,6.022,0.083369915,6.016,0.051037352,000,6.256,0.025028789,6.233,0.015467691,2.41E-01,0.5169,3,1.44E-01,5.911,0.012929017,1.52E-01,0.5491,3,3.16E-01,3.488,0.008437516,HHHd,3.35E-01,3.34E-01,3,,3.74E+00,3,,1.45,1,,,,1.214,3,,4.06E+00,3,,0.186,1,,1.197,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,HD 36408,II,Baines et al. 2012,Cauley,05 32 14.14223,+17 03 29.2492,14000,5.5857,0.049650152,-1.07,-1.020349848,201.4373221
Brun 216,F7,460,,,,,,0.111067324,10.708,0.094397183,10.185,0.0713,,0.053424789,,0.034143662,8.993,0.020084507,8.628,0.012532732,8.279,0.007672282,000,7.611,0.003762498,7.102,0.002325208,5.63E-01,0.9096,3,9.84E-01,3.88,0.001943578,1.23E+00,1.361,3,1.61E+00,1.781,0.001268385,hhdD,1.55E+00,1.57E+00,3,,4.71E+00,1,,null|,null|,,,,null|,null|,,6.73E+01,1,,null|,null|,,null|,null|,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Brun 216,,,,05 34 14,-05 36 54,6240,10.1137,1.799910842,-0.06,1.739910842,15.85023346
